 ----------------------------------------------
 Steady State Optimization with APOPT Solver
 ----------------------------------------------
 
 Iter    Objective  Convergence
    0  4.01684E+25  3.85463E+10
    1  3.46479E+20  1.70000E+01
    2  4.39426E+19  3.85459E+10
    3  1.38236E+17  1.44689E+09
    4  1.38092E+17  5.49316E+02
    5  1.38087E+17  5.48668E+02
    6  1.38069E+17  4.52280E+02
    7  1.38068E+17  4.26538E+00
    8  1.38068E+17  4.33722E-02
    9  1.38068E+17  2.70438E-03
 
 Iter    Objective  Convergence
   10  1.38068E+17  6.79493E-06
   11  1.38068E+17  7.51019E-06
   12  1.38068E+17  6.07967E-06
   13  1.38068E+17  1.47820E-05
   14  1.38068E+17  1.14441E-05
   15  1.38068E+17  5.60284E-06
   16  1.38068E+17  4.05312E-06
   17  1.38068E+17  6.07967E-06
   18  1.38068E+17  5.12600E-06
   19  1.38068E+17  5.60284E-06
 
 Iter    Objective  Convergence
   20  1.38068E+17  6.79493E-06
   21  1.38068E+17  1.21593E-05
   22  1.38068E+17  1.07288E-05
   23  1.38068E+17  1.16825E-05
   24  1.38068E+17  1.04904E-05
   25  1.38068E+17  2.16961E-05
   26  1.38068E+17  1.88351E-05
   27  1.38068E+17  6.79493E-06
   28  1.38068E+17  7.74860E-06
   29  1.38068E+17  1.67847E-04
 
 Iter    Objective  Convergence
   30  1.38068E+17  1.62125E-04
   31  1.38068E+17  5.60284E-06
   32  1.38068E+17  5.60284E-06
   33  1.38068E+17  4.88758E-06
   34  1.38068E+17  6.07967E-06
   35  1.38068E+17  6.55651E-06
   36  1.38068E+17  4.64916E-06
   37  1.38068E+17  6.79493E-06
   38  1.38068E+17  7.03335E-06
   39  1.38068E+17  7.03335E-06
 
 Iter    Objective  Convergence
   40  1.38068E+17  6.79493E-06
   41  1.38068E+17  5.84126E-06
   42  1.38068E+17  6.07967E-06
   43  1.38068E+17  6.55651E-06
   44  1.38068E+17  5.84126E-06
   45  1.38068E+17  6.07967E-06
   46  1.38068E+17  6.07967E-06
 Requested accuracy unachievable
